BOOKNAME,AUTHORNAME,COUNT,EDITION,
The Hunger Games,Suzanne Collins,272,,
Harry Potter and the Philosophers Stone,J.K. Rowling Mary GrandPr,491,,
Twilight,Stephenie Meyer,226,,
To Kill a Mockingbird,Harper Lee,487,,
The Great Gatsby,F. Scott Fitzgerald,1356,,
The Fault in Our Stars,John Green,226,,
The Hobbit or There and Back Again,J.R.R. Tolkien,969,,
The Catcher in the Rye,J.D. Salinger,360,,
Angels & Demons ,Dan Brown,311,,
Pride and Prejudice,Jane Austen,3455,,
The Kite Runner ,Khaled Hosseini,283,,
Divergent,Veronica Roth,210,,
Nineteen Eighty-Four,George Orwell Erich Fromm Cell ster,995,,
Animal Farm: A Fairy Story,George Orwell,896,,
Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,Anne Frank Eleanor Roosevelt B.M. Mooyaart-Doubleday,710,,
Mn som hatar kvinnor,Stieg Larsson Reg Keeland,274,,
Catching Fire,Suzanne Collins,201,,
Harry Potter and the Prisoner of Azkaban,J.K. Rowling Mary GrandPr Rufus Beck,376,,
 The Fellowship of the Ring,J.R.R. Tolkien,566,,
Mockingjay,Suzanne Collins,239,,
Harry Potter and the Order of the Phoenix,J.K. Rowling Mary GrandPr,307,,
The Lovely Bones,Alice Sebold,183,,
Harry Potter and the Chamber of Secrets,J.K. Rowling Mary GrandPr,398,,
Harry Potter and the Goblet of Fire,J.K. Rowling Mary GrandPr,332,,
Harry Potter and the Deathly Hallows,J.K. Rowling Mary GrandPr,263,,
The Da Vinci Code,Dan Brown,350,,
Harry Potter and the Half-Blood Prince,J.K. Rowling Mary GrandPr,275,,
Lord of the Flies ,William Golding,458,,
An Excellent conceited Tragedie of Romeo and Juliet,William Shakespeare Robert           Jackson,1937,,
Gone Girl,Gillian Flynn,196,,
The Help,Kathryn Stockett,183,,
Of Mice and Men ,John Steinbeck,373,,
Memoirs of a Geisha,Arthur Golden,220,,
Fifty Shades of Grey,E.L. James,169,,
O Alquimista,Paulo Coelho Alan R. Clarke,458,,
The Giver,Lois Lowry,192,,
The Lion the Witch and the Wardrobe,C.S. Lewis,474,,
The Time Travelers Wife,Audrey Niffenegger,167,,
A Game of Thrones,George R.R. Martin,101,,
Eat pray love: one womans search for everything across Italy India and Indonesia,Elizabeth Gilbert,185,,
The Lightning Thief,Rick Riordan,159,,
Little Women,Louisa May Alcott,1707,,
Jane Eyre,Charlotte Bront Michael Mason,2568,,
The Notebook,Nicholas Sparks,190,,
Life of Pi,Yann Martel,264,,
